username,text,timestamp,url,likes,retweets,replies,extracted_urls,extracted_hashtags
joe4deadcat,Russia fought against Germany in WW2 and allied with the USA,2025-03-01T21:47:17.000Z,https://twitter.com/joe4deadcat/status/1895954017299366058,0,0,0,None,None
DiegoPelig,Lol I don't think Mr Churchhill thought that  you must have forgotten ww2. They weren't calling Ukraine. You could say America saved Europe.,2025-03-01T21:47:05.000Z,https://twitter.com/DiegoPelig/status/1895953967383003592,0,0,0,None,None
Smartarse21,"We have lived in this world of, we can’t anger our European allies and have been taken advantage of greatly. 

Now we can’t be belligerent but it is about time they start to do things on their own, WW2 is almost 80 years ago, they have rebuilt…",2025-03-01T21:46:42.000Z,https://twitter.com/Smartarse21/status/1895953868565201195,0,0,1,None,None
HaraldA69,De har glemt at russere reddet oss fra nazister i ww2. Jeg besøker gravene til de falne ofte,2025-03-01T21:46:37.000Z,https://twitter.com/HaraldA69/status/1895953848348656100,0,0,0,None,None
ipekboy,"tu gdzie mieszkam, bezpieczenstwo jest ciut tansze, bo biore prawo jazdy, jade kupic sobie bron i tyle. Wuja od mojej zony strony to ma 3 strzelby, 2 pistolety, Thompsona z ery WW2 i rifle",2025-03-01T21:46:34.000Z,https://twitter.com/ipekboy/status/1895953838223634831,0,0,0,None,None
3rdTimeCharming,"Yeah, the army can man a breakthrough armored division to fight the imagined WW2.5 in Europe or the actual decade long war to secure the southern border; pick one. And that’s separate from the need to gut Goldwater-Nichols to fund USN/AF so that Hawaii stays #50.",2025-03-01T21:46:34.000Z,https://twitter.com/3rdTimeCharming/status/1895953836537516338,0,0,0,None,#50
kbratt1509,"And If you had not intervened in ww2 how do you think the world would look like now.
Maybe you feel like we should have handed you our coal reserves for your help? World order is about peace and not about USAs financial gain. Remember, we are simply temporary world custodians",2025-03-01T21:46:29.000Z,https://twitter.com/kbratt1509/status/1895953816710971747,0,0,0,None,None
JM40772,We funded the USSR in WW2. They were our allies. Your grandfather fought on the same side as them.,2025-03-01T21:46:25.000Z,https://twitter.com/JM40772/status/1895953799027826811,0,0,0,None,None
mikelake449021,"Your right Europe doesn't need America, and we don't need Europe, you left out Navy carriers and subs, you left out tanks, weapons, artillery from WW2 being used by Europe, do some checking non stronger then USA",2025-03-01T21:46:19.000Z,https://twitter.com/mikelake449021/status/1895953772695994688,0,0,0,None,None
firehorsemia,We had a few stationed here during WW2,2025-03-01T21:46:18.000Z,https://twitter.com/firehorsemia/status/1895953770846290285,1,0,0,None,None
KhaldMhmd75515,تم,2025-03-01T21:46:17.000Z,https://twitter.com/KhaldMhmd75515/status/1895953765943115962,1,0,0,None,None
stoicrebel0,"The vast majority of boomers, both men and women, are the most indoctrinated generation of white people. They were raised during prime jewish control after WW2 and they grew up solely on propaganda with no other source of information. Don’t rely on them for anything.",2025-03-01T21:46:15.000Z,https://twitter.com/stoicrebel0/status/1895953755260252644,0,0,0,None,None
TomBombadil8796,"Czechs know it. Munich 1938. The consequence of this ""agreement"" was WW2.",2025-03-01T21:46:03.000Z,https://twitter.com/TomBombadil8796/status/1895953705968803900,0,0,0,None,None
superphil123,"Britain did sell off lots of its overseas territory to the US in order to pay for military assistance from the US in WW2. We did'nt hand over Kent, Norfolk , Devon & Cornwall.",2025-03-01T21:45:57.000Z,https://twitter.com/superphil123/status/1895953681264361727,0,0,0,None,None
RealAdamWard,"If you think cancelling elections in the middle of a war is dictator-like, you're ill-informed at best.

Churchill did the same thing during WW2. It's pretty standard.",2025-03-01T21:45:57.000Z,https://twitter.com/RealAdamWard/status/1895953680903651653,1,0,0,None,None
charr68204,Winston Churchill wore his military clothes to the White House during WW2 . It is acceptable. But its ok with you for Elon to where a tee shirt and a baseball cap in the Oval Office! Hypocritical BS!,2025-03-01T21:45:52.000Z,https://twitter.com/charr68204/status/1895953661249142897,1,0,0,None,None
9NinetyOneNine,"This is the idealism I was talking about.

If the USSR collapsed before WW2, you would have had Russian whites back in power and allied with the nazis.

Whole of Europe would have been the third reich itself, and with the resources of Siberia, JUST IMAGINE.",2025-03-01T21:45:49.000Z,https://twitter.com/9NinetyOneNine/status/1895953647286305239,0,0,1,None,None
rigo_eddie,"Fuck me. You want to start picking your wars on order es you can win????? The US hasn't won a war since ww2, and it did that. Y being the only nation on the planet deranged enough to use nukes. You have many enemy. More than most. Watch your back. China is rubbing it's hands.",2025-03-01T21:45:47.000Z,https://twitter.com/rigo_eddie/status/1895953638402797618,0,0,0,None,None
rn30000,Winston Churchill during WW2…. That’s the friend,2025-03-01T21:45:43.000Z,https://twitter.com/rn30000/status/1895953622778986689,0,0,0,None,None
JuggerTheseNuts,Yeah they’re a mess. Before ww1 Russia and Germany were united. After the win Prussia influenced Germany to become an empire and well… the cycle never ends. Who wants to get involved in that .. what’s next ? Germany strikes Russia from Ukraine soil ?,2025-03-02T00:55:28.000Z,https://twitter.com/JuggerTheseNuts/status/1896001375739503033,1,0,1,None,None
